ID,Predicted Price
44020629,16620.19
45784798,15294.6
45800257,8236.23
45797981,1417.12
45814303,3061.47
45812490,27076.41
45772399,14711.56154447051
45766222,14355.46188057041
45803362,17658.75680952381
45809004,16249.79
45646460,5586.83
45732871,23100.22
45655649,522.22
45744987,18795.96
45803457,16641.66
45768709,769.190138888889
45774515,7352.08
45804934,31578.2
45761041,3700.994772727273
45732748,21358.084
45636177,5231.0778928571435
45776797,41589.7
45455723,19050.95
45813677,1118.2522344322342
45773858,1859.4896031746032
45772519,1859.4896031746032
45766845,32189.23
45764710,2841.0
45813678,2087.571
45732968,13432.3
45793608,11834.7
45662220,1208.0009166666666
45803451,15867.76
45648491,11329.513428571428
43559789,11478.15
45774068,2236.4251776556775
45802983,35204.28
45815747,7281.31
45717246,7968.76
45776674,16288.54
45804823,22155.32
45730580,35512.41
45765452,3530.749701298701
45813031,1945.33
45617473,9600.08
45807127,9601.65
45814020,14050.86
45758906,16338.03
45733712,26176.84
45762239,23127.844285714287
45809330,18937.82
45341507,20956.6
45773460,1071.8111111111111
45767063,1696.545
45789955,19347.56
45809794,15709.83
45726608,24392.59
45504275,13073.84
45782339,12757.37
45809859,47958.44
45644467,972.2387313154685
45525213,7786.224487789987
45802040,14996.7805
45803297,16391.43
45780305,22882.81
45651854,4099.817272727273
45730823,36164.42
45802299,44937.71
45812981,1820.11
45802016,24523.2
45760400,50229.13
45803275,13175.81
45730893,38495.31
45792068,12056.342000000002
45730639,22911.34
45733286,13215.23
45660762,1334.48
45484673,18742.1
45793325,5527.35
45497144,30401.61
45767355,1130.7663333333335
30741514,36335.13857142857
45772077,5911.98
45787527,24269.4
45770237,5751.311695167578
45773885,5849.46
45719962,57487.62
45757280,57542.55136237317
45480293,19722.23
45315206,56207.42
45806821,1498.49
45732790,14166.18
45814249,10488.88
45814282,9330.31
45792396,1379.46
45730551,36234.09
45816437,20633.885
45473455,7310.1335714285715
45809567,20012.802
45789850,7036.9
45185743,13368.49
45377219,39576.63
45803643,16375.27
45789100,7402.26
45797132,14537.275
44874355,19885.45
45804308,20061.33
